ID,Title,Software Path,Number of changes,,Software Path,Number of bugs
75670,Balance Inquriy -for online item - pos gives general error after scaning / entering the seconde barcode and press OK,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterData/TaxExemptionParametersUpdater.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterSave/TaxExemptionParametersSaveRequestAdaptor.cs,4
120356,"[TLog]POSLOG 10.5 -Recall transaction: Transaction status ""Resumed"" is missing",/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterLookup/TaxExemptionParametersLookupResponseBuilder.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterSave/TaxExemptionParametersSaveResponseBuilder.cs,4
119202,[Save and recall] -Save and recall saved on original Pos,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/RetailTransactionLog/ARTSV6_0_0/Writer/TransactionArts6LogWriter.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/Arts/GovernmentProgramsParametersTaxParameters.cs,4
120360,[TLog]POSLOG -  Return Item: : EntryMethod is missing,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/Arts/GovernmentProgramsParametersSave.xsd,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterData/TaxParametersUpdater.cs,4
64323,Integration tests  - BRM,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/Arts/GovernmentProgramsParametersLookup.xsd,4,,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/RetailTransactionLog/ARTSV6_0_0/Writer/TransactionForRetailTransacitonLogVisitor.cs,4
143783,Drop 8 - Sanity - Trans isn't available msg while trying to recall trans on 3rd time,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/ParameterData/TaxParametersUpdater.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/Arts/GovernmentProgramsParameters.cs,4
108309,E-Commerce: Can't add items from historical order with promotion (Cant recall order with promotion after first recall.),/R10/Main/Release/5.x/5.0.3/servers/store/App/Src/ServiceHost/Tests/Retalix.StoreServer.Model.Test/Selling/Promotions/Setup,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/Arts/GovernmentProgramsParametersSave.cs,4
75670,Balance Inquriy -for online item - pos gives general error after scaning / entering the seconde barcode and press OK,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/Arts/GovernmentProgramsParametersLookup.xsd,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterLookup/TaxExemptionParametersLookupService.cs,4
119202,[Save and recall] -Save and recall saved on original Pos,/R10/Main/Release/5.x/5.0.3/Components/Regional/US/Tax/StoreServer/DB/Scripts/Core/SqlServer/upgrade,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/Arts/GovernmentProgramsParameters.cs,4
109779,[Ecommerce] - New UI  - Apple - Weighable item with promotionm - can't increase  the amount to 1 Kg to get the promotion,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterSave/TaxExemptionParametersSaveRequestAdaptor.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterLookup/TaxExemptionParametersLookupRequestAdaptor.cs,4
